Time,Stimulus,Raw F3,Raw F4,F3-Cz,F4-Cz,F3-CMA,F4-CMA
1.046898,0,-2.884104,-4.945199,-1.781974,-3.843069,-2.88410395230769,-4.94519895230769
1.050804,0,-6.198288,-5.540208,-2.556832,-1.898752,-6.19828798461538,-5.54020798461538
1.054711,0,-2.880323,-1.530228,-0.188537,1.161558,-2.88032297692308,-1.53022797692308
1.058617,0,0.06985601,-5.707983,3.22252901,-2.55531,0.0698560007692307,-5.70798300923077
1.062523,0,2.266915,-6.869988,7.732871,-1.404032,2.26691493684615,-6.86998806315385
1.06643,0,-3.362505,-4.20749,1.633307,0.788322,-3.36250503430769,-4.20749003430769
1.070336,0,0.7320188,-6.602586,6.0794598,-1.255145,0.732018895846154,-6.60258590415385
1.074242,0,0.7340625,-7.028738,3.8194795,-3.943321,0.734062446,-7.028738054
1.078149,0,-1.787775,-2.810808,2.333758,1.310725,-1.78777510169231,-2.81080810169231
1.082055,0,-0.3385351,-4.140992,1.7160299,-2.086427,-0.338535138153846,-4.14099203815385
1.085961,0,-1.668318,3.534722,-0.329605,4.873435,-1.66831807038462,3.53472192961538
1.089868,0,1.048348,-3.929548,2.069884,-2.908012,1.04834792530769,-3.92954807469231
1.093774,0,1.045702,-1.257428,3.57692,1.27379,1.04570214692308,-1.25742785307692
1.09768,0,3.899691,-2.017486,2.976314,-2.940863,3.89969095230769,-2.01748604769231
1.101587,0,6.843471,-4.910496,8.209821,-3.544146,6.84347109707692,-4.91049590292308
1.105493,0,-5.954344,-3.27515,-5.7271162,-3.0479222,-5.95434385723077,-3.27514985723077
1.109399,0,2.837111,3.717902,0.812164,1.692955,2.83711097692308,3.71790197692308
